rank,city,total,urban,rural,year,rate
31,Afyonkarahisar,725.568,424.667,300.901,2018,%59 %41
40,AÄrÄ±,539.657,304.543,235.114,2018,%56 %44
47,Aksaray,412.172,285.502,126.670,2018,%69 %31
57,Amasya,337.508,239.660,97.848,2018,%71 %29
2,Ankara,5.503.985,5.503.985,[not 1],2018,%100 %0
5,Antalya,2.426.356,2.426.356,[not 1],2018,%100 %0
79,Ardahan,98.907,39.392,59.515,2018,%40 %60
76,Artvin,174.010,102.882,71.128,2018,%59 %41
20,AydÄ±n,1.097.746,1.097.746,[not 1],2018,%100 %0
17,BalÄ±kesir,1.226.575,1.226.575,[not 1],2018,%100 %0
74,BartÄ±n,198.999,83.026,115.973,2018,%42 %58
36,Batman,599.103,478.243,120.860,2018,%80 %20
81,Bayburt,82.274,45.467,36.807,2018,%55 %45
71,Bilecik,223.448,180.302,43.146,2018,%81 %19
64,BingÃ¶l,281.205,168.180,113.025,2018,%60 %40
55,Bitlis,349.396,205.566,143.830,2018,%59 %41
59,Bolu,311.810,220.274,91.536,2018,%71 %29
65,Burdur,269.926,183.351,86.575,2018,%68 %32
4,Bursa,2.994.521,2.994.521,[not 1],2018,%100 %0
39,Ãanakkale,540.662,326.026,214.636,2018,%60 %40
73,ÃankÄ±rÄ±,216.362,132.297,84.065,2018,%61 %39
41,Ãorum,536.483,392.004,144.479,2018,%73 %27
22,Denizli,1.027.782,1.027.782,[not 1],2018,%100 %0
12,DiyarbakÄ±r,1.732.396,1.732.396,[not 1],2018,%100 %0
50,DÃ¼zce,387.844,250.162,137.682,2018,%65 %36
48,Edirne,411.528,300.198,111.330,2018,%73 %27
37,ElazÄ±Ä,595.638,428.667,166.971,2018,%72 %28
70,Erzincan,236.034,172.931,63.103,2018,%73 %27
30,Erzurum,767.848,767.848,[not 1],2018,%100 %0
25,EskiÅehir,871.187,871.187,[not 1],2018,%100 %0
9,Gaziantep,2.028.563,2.028.563,[not 1],2018,%100 %0
44,Giresun,453.912,277.674,176.238,2018,%61 %39
77,GÃ¼mÃ¼Åhane,162.748,80.306,82.442,2018,%49 %51
63,HakkÃ¢ri,286.470,167.905,118.565,2018,%59 %41
13,Hatay,1.609.856,1.609.856,[not 1],2018,%100 %0
75,IÄdÄ±r,197.456,111.183,86.273,2018,%56 %44
45,Isparta,441.412,322.023,119.389,2018,%73 %27
1,Ä°stanbul,15.067.724,15.067.724,[not 1],2018,%100 %0
3,Ä°zmir,4.320.519,4.320.519,[not 1],2018,%100 %0
18,KahramanmaraÅ,1.144.851,1.144.851,[not 1],2018,%100 %0
68,KarabÃ¼k,248.014,188.642,59.372,2018,%76 %24
67,Karaman,251.913,186.664,65.249,2018,%74 %26
61,Kars,288.878,136.729,152.149,2018,%47 %53
51,Kastamonu,383.373,232.670,150.703,2018,%61 %39
15,Kayseri,1.389.680,1.389.680,[not 1],2018,%100 %0
78,Kilis,142.541,106.061,36.480,2018,%74 %26
62,KÄ±rÄ±kkale,286.602,245.458,41.144,2018,%86 %14
54,KÄ±rklareli,360.860,256.750,104.110,2018,%71 %29
69,KÄ±rÅehir,241.868,186.260,55.608,2018,%77 %23
10,Kocaeli,1.906.391,1.906.391,[not 1],2018,%100 %0
7,Konya,2.205.609,2.205.609,[not 1],2018,%100 %0
38,KÃ¼tahya,577.941,404.603,173.338,2018,%70 %30
28,Malatya,797.036,797.036,[not 1],2018,%100 %0
14,Manisa,1.429.643,1.429.643,[not 1],2018,%100 %0
26,Mardin,829.195,829.195,[not 1],2018,%100 %0
11,Mersin,1.814.468,1.814.468,[not 1],2018,%100 %0
24,MuÄla,967.487,967.487,[not 1],2018,%100 %0
49,MuÅ,407.992,180.094,227.898,2018,%44 %56
60,NevÅehir,298.339,187.114,111.225,2018,%63 %37
53,NiÄde,364.707,209.875,154.832,2018,%58 %42
29,Ordu,771.932,771.932,[not 1],2018,%100 %0
42,Osmaniye,534.415,408.057,126.358,2018,%76 %24
56,Rize,348.608,206.088,142.520,2018,%59 %41
23,Sakarya,1.010.700,1.010.700,[not 1],2018,%100 %0
16,Samsun,1.335.716,1.335.716,[not 1],2018,%100 %0
8,ÅanlÄ±urfa,2.035.809,2.035.809,[not 1],2018,%100 %0
58,Siirt,331.670,218.347,113.323,2018,%66 %34
72,Sinop,219.733,129.425,90.308,2018,%59 %41
43,ÅÄ±rnak,524.190,328.906,195.284,2018,%63 %37
32,Sivas,646.608,470.589,176.019,2018,%73 %27
21,TekirdaÄ,1.029.927,1.029.927,[not 1],2018,%100 %0
34,Tokat,612.646,386.219,226.427,2018,%63 %37
27,Trabzon,807.903,807.903,[not 1],2018,%100 %0
80,Tunceli,88.198,55.860,32.338,2018,%63 %37
52,UÅak,367.514,273.837,93.677,2018,%75 %25
19,Van,1.123.784,1.123.784,[not 1],2018,%100 %0
66,Yalova,262.234,192.288,69.946,2018,%73 %27
46,Yozgat,424.981,270.658,154.323,2018,%64 %36
35,Zonguldak,599.698,365.669,234.029,2018,%61 %39
6,Adana,2.237.940,2.237.940,[not 1],2019,%100 %0
33,AdÄ±yaman,626.465,431.758,194.707,2019,%69 %31
31,Afyonkarahisar,729.483,436.233,293.250,2019,%60 %40
41,AÄrÄ±,536.199,307.539,228.660,2019,%57 %43
47,Aksaray,416.367,293.878,122.489,2019,%71 %29
57,Amasya,337.800,245.778,92.022,2019,%73 %27
2,Ankara,5.639.076,5.639.076,[not 1],2019,%100 %0
5,Antalya,2.511.700,2.511.700,[not 1],2019,%100 %0
79,Ardahan,97.319,39.272,58.047,2019,%40 %60
76,Artvin,170.875,106.389,64.486,2019,%62 %38
20,AydÄ±n,1.110.972,1.110.972,[not 1],2019,%100 %0
17,BalÄ±kesir,1.228.620,1.228.620,[not 1],2019,%100 %0
74,BartÄ±n,198.249,86.527,111.722,2019,%44 %56
35,Batman,608.659,492.312,116.347,2019,%81 %19
80,Bayburt,84.843,52.517,32.326,2019,%62 %38
71,Bilecik,219.427,178.534,40.893,2019,%81 %19
64,BingÃ¶l,279.812,179.821,99.991,2019,%64 %36
